id,name,operating_agency_phone,website_url
1,영등포구치매안심센터,02-831-0855,https://www.naver.com
2,청양군치매안심센터,041-940-4500,https://www.naver.com
3,하동군치매안심센터,055-880-6850,https://www.naver.com
4,강원특별자치도동해시치매안심센터,033-530-2426,https://www.naver.com
5,시흥시 치매안심센터(연성센터),031-310-6825,https://www.naver.com
6,시흥시 치매안심센터(정왕센터),031-310-5930,https://www.naver.com
7,시흥시 치매안심센터(대야신천센터),031-310-5857,https://www.naver.com
8,경주시 치매상담센터,054-760-2950,https://www.naver.com
9,금산군치매안심센터,041-750-4300,https://www.naver.com
10,신안군치매안심센터,061-240-8081,https://www.naver.com
11,미추홀돌봄의집,032-883-0310,https://www.naver.com
12,[분소]제주도서귀포시치매안심센터(중문분소),064-760-6555,https://www.naver.com
13,[분소]서귀포시동부치매안심센터(성산분소),064-760-6477,https://www.naver.com
14,[분소]서귀포시동부치매안심센터(표선분소),064-760-6365,https://www.naver.com
15,동구보건소 치매안심센터,053-662-3175,https://www.naver.com
16,김제시 치매안심센터,063-547-4000,https://www.naver.com
17,대전서구치매안심센터,042-288-4470,https://www.naver.com
18,중구치매안심센터,02-2238-3400,https://www.naver.com
19,부산광역시 강서구 치매안심센터,051-970-2600,https://www.naver.com
20,오산시치매안심센터,031-8036-6633,https://www.naver.com
21,음성군치매안심센터,043-872-2136,https://www.naver.com
22,서초구치매안심센터,02-591-1833,https://www.naver.com
23,부산광역시 동래구 치매안심센터,051-555-6767,https://www.naver.com
24,부산광역시 해운대구,051-749-0770,https://www.naver.com
25,광진구치매안심센터,02-450-1381,https://www.naver.com
26,상주시치매안심센터,054-537-6514,https://www.naver.com
27,연천군치매안심센터,031-839-4165,https://www.naver.com
28,서천군 치매안심센터,041-950-6741,https://www.naver.com
29,무안군치매안심센터,061-450-5075,https://www.naver.com
30,광명시치매안심센터,02-2680-5830,https://www.naver.com
31,옹진군치매안심센터,032-899-3670,https://www.naver.com
32,의왕시치매안심센터,031-345-3851,https://www.naver.com
33,동구 치매안심센터,042-621-6011,https://www.naver.com
34,서울특별시 중랑구치매안심센터,02-435-7540,https://www.naver.com
35,의정부시보건소 치매상담센터,031-870-6121,https://www.naver.com
36,광주광역시광역치매센터,062-226-2181,https://www.naver.com
37,용인시처인구치매안심센터,031-324-2700,https://www.naver.com
38,용인시기흥구치매안심센터,031-324-6157,https://www.naver.com
39,용인시수지구치매안심센터,031-324-8446,https://www.naver.com
40,북부치매안심센터,031-887-3691,https://www.naver.com
41,거제시 치매안심센터,055-639-6226,https://www.naver.com
42,합천군 치매안심센터,055-930-4091,https://www.naver.com
43,동작구치매안심센터,02-598-6088,https://www.naver.com
44,무안군치매안심센터,061-450-5075,https://www.naver.com
45,함평군치매안심센터,061-320-2390,https://www.naver.com
46,영광군치매안심센터,061-350-4806,https://www.naver.com
47,장성군치매안심센터,061-390-7161,https://www.naver.com
48,완도군치매안심센터,061-550-5810,https://www.naver.com
49,진도군치매안심센터,061-540-6964,https://www.naver.com
50,신안군치매안심센터,061-243-8081,https://www.naver.com
51,중구치매안심센터,051-600-4688,https://www.naver.com
52,예천군치매안심센터,054-650-8100,https://www.naver.com
53,가평군치매안심센터,031-580-2849,https://www.naver.com
54,목포시 치매안심센터,061-270-4271,https://www.naver.com
55,영천시치매안심센터,054-339-7845,https://www.naver.com
56,서귀포시서부보건소치매안심센터,064-760-6249,https://www.naver.com
57,서귀포보건소치매안심센터,064-760-6555,https://www.naver.com
58,서귀포시동부보건소치매안심센터,064-760-6141,https://www.naver.com
59,대구남구치매안심센터,053-664-3694,https://www.naver.com
60,보건소치매센터,055-860-8791,https://www.naver.com
61,대덕구치매안심센터,042-608-4491,https://www.naver.com
62,용산구치매안심센터,02-790-1541,https://www.naver.com
63,고흥군치매안심센터,061-830-6969,https://www.naver.com
64,보성군치매안심센터,061-850-8695,https://www.naver.com
65,화순군치매안심센터,061-379-5317,https://www.naver.com
66,장흥군치매안심센터,061-860-6498,https://www.naver.com
67,강진군치매안심센터,061-430-5294,https://www.naver.com
68,해남군치매안심센터,061-531-3703,https://www.naver.com
69,영암군치매안심센터,061-470-6030,https://www.naver.com
70,광주광역시 남구 치매안심센터,062-607-4361,https://www.naver.com
71,경상북도 광역치매센터,054-777-6400,https://www.naver.com
72,경상북도고령군치매안심센터,054-950-7961,https://www.naver.com
73,서구 치매안심센터,062-350-4759,https://www.naver.com
74,[분소]서귀포시서부치매안심센터(안덕분소),064-760-0975,https://www.naver.com
75,북구 치매상담센터,051-309-5281,https://www.naver.com
76,통영시 치매센터,055-650-6100,https://www.naver.com
77,여수시치매안심센터,061-659-5440,https://www.naver.com
78,공주시치매안심센터,041-840-8811,https://www.naver.com
79,함양군 치매안심센터,055-960-5355,https://www.naver.com
80,장흥군보건소 치매안심센터,061-860-6498,https://www.naver.com
81,덕양구보건소치매안심센터,031-8075-4800,https://www.naver.com
82,일산동구보건소치매안심센터,031-8075-4850,https://www.naver.com
83,부산광역시남구치매안심센터,051-607-3771,https://www.naver.com
84,화천군 치매안심센터,033-440-2809,https://www.naver.com
85,진안군치매안심센터,063-430-8582,https://www.naver.com
86,순창군 치매안심센터,063-650-5247,https://www.naver.com
87,제주시 제주치매안심센터,064-728-8490,https://www.naver.com
88,제주시 서부보건소 치매안심센터,064-728-8661,https://www.naver.com
89,이천시 치매안심센터,031-644-4007,https://www.naver.com
90,남부치매안심센터,031-645-3460,https://www.naver.com
91,김천시치매안심센터,054-421-2960,https://www.naver.com
92,속초시치매안심센터,033-639-2071,https://www.naver.com
93,원주시치매안심센터,033-737-4541,https://www.naver.com
94,정선군치매안심센터,033-560-2565,https://www.naver.com
95,파주시치매안심센터,031-940-3721,https://www.naver.com
96,익산시치매안심센터,063-859-7550,https://www.naver.com
97,대구달서구치매안심센터,053-667-5771,https://www.naver.com
98,대전광역치매센터,042-280-8968,https://www.naver.com
99,동구치매안심센터,042-621-6011,https://www.naver.com
100,중구치매안심센터,042-288-8180,https://www.naver.com
101,서구치매안심센터,042-288-4470,https://www.naver.com
102,유성구치매안심센터,042-611-5112,https://www.naver.com
103,옥천군치매안심센터,043-730-2158,https://www.naver.com
104,홍성군치매안심센터,041-630-9076,https://www.naver.com
105,양평군치매안심센터,031-771-5773,https://www.naver.com
106,삼척시치매안심센터,033-570-4327,https://www.naver.com
107,진상백학동기억샘터,061-797-4814,https://www.naver.com
108,보령시치매안심센터,041-930-6871,https://www.naver.com
109,안산시상록수보건소 치매안심센터,031-481-5848,https://www.naver.com
110,안산시단원보건소 치매안심센터,031-481-6548,https://www.naver.com
111,금천구치매안심센터,02-3281-9082,https://www.naver.com
112,담양군치매안심센터,061-380-2971,https://www.naver.com
113,사하구 치매안심센터(본소),051-220-5987,https://www.naver.com
114,사하구 치매안심센터(신평분소),051-220-0074,https://www.naver.com
115,종로구 치매안심센터,02-3675-9001,https://www.naver.com
116,광주광역시북구치매안심센터,062-410-8124,https://www.naver.com
117,전북특별자치도광역치매센터,063-247-6082,https://www.naver.com
118,완주군치매안심센터,063-290-4373,https://www.naver.com
119,정읍시치매안심센터,063-539-6951,https://www.naver.com
120,무주군치매안심센터,063-320-8601,https://www.naver.com
121,고창군 치매안심센터,063-560-8725,https://www.naver.com
122,창원보건소 치매안심센터,055-225-5794,https://www.naver.com
123,마산보건소 치매안심센터,055-225-5993,https://www.naver.com
124,진해보건소 치매안심센터,055-225-6692,https://www.naver.com
125,강남구치매안심센터,02-1599-3114,https://www.naver.com
126,은평구치매안심센터,02-388-8233,https://www.naver.com
127,부산광역시영도구치매안심센터,051-419-4935,https://www.naver.com
128,진천군치매안심센터,043-539-7782,https://www.naver.com
129,대구광역시중구치매안심센터,053-661-3911,https://www.naver.com
130,화순군치매안심센터,061-379-5317,https://www.naver.com
131,영양군치매안심센터,054-680-5100,https://www.naver.com
132,영동군치매안심센터,043-740-5941,https://www.naver.com
133,철원군치매안심센터,033-450-5105,https://www.naver.com
134,부여군 치매안심센터,041-830-8727,https://www.naver.com
135,치매안심센터,053-810-6418,https://www.naver.com
136,성주군치매안심센터,054-930-8191,https://www.naver.com
137,완도군치매안심센터,061-550-5810,https://www.naver.com
138,순천시치매안심센터,061-749-8888,https://www.naver.com
139,서울특별시 성동구 치매안심센터,02-499-8071,https://www.naver.com
140,치매안심센터,055-749-5778,https://www.naver.com
141,대구북구치매안심센터,053-665-3135,https://www.naver.com
142,남양주보건소 치매안심센터,031-590-8700,https://www.naver.com
143,남양주풍양보건소 치매안심센터,031-590-8381,https://www.naver.com
144,장안구치매안심센터,031-228-5953,https://www.naver.com
145,권선구치매안심센터,031-228-6964,https://www.naver.com
146,팔달구치매안심센터,031-228-7794,https://www.naver.com
147,영통구치매안심센터,031-228-8447,https://www.naver.com
148,울산광역시남구치매안심센터,052-226-2323,https://www.naver.com
149,함평군보건소,061-320-2390,https://www.naver.com
150,단양군치매안심센터,043-420-3201,https://www.naver.com
151,김해시치매안심센터,055-320-5961,https://www.naver.com
152,치매안심센터 주촌분소,055-320-5971,https://www.naver.com
153,김해시서부보건소분소,055-330-8391,https://www.naver.com
154,진도군치매안심센터,061-540-6962,https://www.naver.com
155,서구치매안심센터,032-718-0630,https://www.naver.com
156,강화군치매안심센터,032-930-4057,https://www.naver.com
157,청도군치매안심센터,054-370-6470,https://www.naver.com
158,마포구치매안심센터,02-3272-1578,https://www.naver.com
159,강북구치매안심센터,02-991-9830,https://www.naver.com
160,강북구치매안심센터,02-991-9830,https://www.naver.com
161,세종특별자치시 치매안심센터(조치원),044-301-2000,https://www.naver.com
162,남원시 치매안심센터,063-620-7725,https://www.naver.com
163,영광군치매안심센터,061-350-4806,https://www.naver.com
164,금정구 치매안심센터,051-519-5678,https://www.naver.com
165,충주시치매안심센터,043-850-1780,https://www.naver.com
166,영덕군치매안심센터,054-730-7177,https://www.naver.com
167,인천광역시 동구 치매안심센터,032-772-6307,https://www.naver.com
168,인천광역시 동구 구립 치매전담형 주간보호센터 동구동락,032-575-0019,https://www.naver.com
169,대전광역시유성구치매안심센터,042-611-5018,https://www.naver.com
170,화성시치매안심센터 동탄분소,031-5189-4361,https://www.naver.com
171,영암군치매안심센터,061-470-6030,https://www.naver.com
172,해남군 치매안심센터,061-531-3793,https://www.naver.com
173,서대문구치매안심센터,02-379-0183,https://www.naver.com
174,수정구보건소 치매안심센터,031-729-3879,https://www.naver.com
175,중원구보건소 치매안심센터,031-739-3045,https://www.naver.com
176,분당구보건소 치매안심센터,031-729-8783,https://www.naver.com
177,충청남도 계룡시 치매센터,042-840-3681,https://www.naver.com
178,서북구치매안심센터,041-521-5740,https://www.naver.com
179,노원구치매안심센터,02-911-7778,https://www.naver.com
180,강북구치매안심센터,02-991-9830,https://www.naver.com
181,양구군치매안심센터,033-480-2823,https://www.naver.com
182,장성군치매안심센터,061-390-7160,https://www.naver.com
183,미추홀구치매안심센터,032-728-6520,https://www.naver.com
184,여주시치매안심센터,031-887-3691,https://www.naver.com
185,부안군 치매안심센터,063-580-3066,https://www.naver.com
186,동안치매안심센터,031-8045-6801,https://www.naver.com
187,양산시치매안심센터,055-392-5175,https://www.naver.com
188,관악구치매안심센터,02-879-4910,https://www.naver.com
189,김포시치매안심센터 보건사업과,031-5186-4169,https://www.naver.com
190,북부보건과 치매관리팀,031-5186-4213,https://www.naver.com
191,화성시치매안심센터,031-5189-6647,https://www.naver.com
192,광산구치매안심센터,062-960-6930,https://www.naver.com
193,서울특별시 구로구 치매안심센터,02-2612-7041,https://www.naver.com
194,임실군치매안심센터,063-640-3371,https://www.naver.com
195,전주시 치매안심센터,063-281-6291,https://www.naver.com
196,연제구치매안심센터,051-665-5481,https://www.naver.com
197,광양시 치매안심센터,061-797-4059,https://www.naver.com
198,평택시치매안심센터,031-8024-4933,https://www.naver.com
199,만안치매안심센터,031-8045-3180,https://www.naver.com
200,나주시 치매안심센터,061-339-4790,https://www.naver.com
201,함안군 치매안심센터,055-580-3240,https://www.naver.com
202,산청군 치매안심센터,055-970-7647,https://www.naver.com
203,제천시치매안심센터,043-641-3058,https://www.naver.com
204,울산중구치매안심센터,052-290-4290,https://www.naver.com
205,의령군치매안심센터,055-570-4072,https://www.naver.com
206,울주치매안심센터,052-204-2878,https://www.naver.com
207,사상구치매안심센터,051-310-3363,https://www.naver.com
208,부천시치매안심센터,032-625-4421,https://www.naver.com
209,구례군 치매안심센터,061-780-2933,https://www.naver.com
210,평창군치매안심센터,033-330-4900,https://www.naver.com
211,군위군치매안심센터,054-851-6000,https://www.naver.com
212,의성군치매안심센터,054-830-6660,https://www.naver.com
213,달성군치매안심센터,053-668-3841,https://www.naver.com
214,춘천시 치매안심센터,033-250-4004,https://www.naver.com
215,울산광역시북구치매안심센터,052-241-8257,https://www.naver.com
216,경상북도 안동시 치매안심센터,054-840-5789,https://www.naver.com
217,고성군치매안심센터,033-680-3798,https://www.naver.com
218,횡성군보건소,033-340-5653,https://www.naver.com
219,강진군치매안심센터,061-430-5294,https://www.naver.com
220,광양시치매안심센터,061-797-4059,https://www.naver.com
221,담양군치매안심센터,061-380-2971,https://www.naver.com
222,곡성군치매안심센터,061-360-8980,https://www.naver.com
223,구례군치매안심센터,061-780-2026,https://www.naver.com
224,군산시치매안심센터,063-454-5870,https://www.naver.com
225,동남구치매안심센터,041-521-3343,https://www.naver.com
226,대전광역시 대덕구 치매안심센터,042-608-5499,https://www.naver.com
227,칠곡군 치매안심센터,054-973-4000,https://www.naver.com
228,괴산군치매안심센터,043-830-2392,https://www.naver.com
229,논산시치매안심센터,041-746-6921,https://www.naver.com
230,서산시보건소 치매센터,041-661-8100,https://www.naver.com
231,중구치매안심센터,032-760-6062,https://www.naver.com
232,경상북도영주시치매안심센터,054-639-5733,https://www.naver.com
233,포천시치매안심센터,031-538-4831,https://www.naver.com
234,포천시치매안심센터 일동분소,031-538-4547,https://www.naver.com
235,포천시치매안심센터 영북분소,031-538-4806,https://www.naver.com
236,태안군치매안심센터,041-671-5228,https://www.naver.com
237,당진시치매안심센터,041-360-6075,https://www.naver.com
238,장수치매정신통합센터,063-350-2645,https://www.naver.com
239,강릉시치매안심센터,033-660-3081,https://www.naver.com
240,연수구치매안심센터,032-749-8942,https://www.naver.com
241,광주시 치매안심센터,031-760-8719,https://www.naver.com
242,계양구보건소 치매안심센터,032-430-7867,https://www.naver.com
243,효성평생건강센터,032-450-1838,https://www.naver.com
244,동두천시치매안심센터,031-860-3395,https://www.naver.com
245,강서구치매안심센터,02-3663-0943,https://www.naver.com
246,사천시치매안심센터,055-831-5860,https://www.naver.com
247,일산서구보건소치매안심센터,031-8075-4871,https://www.naver.com
248,강동구치매안심센터,02-489-1130,https://www.naver.com
249,성북구치매안심센터,02-918-2223,https://www.naver.com
250,양천구치매안심센터,02-2698-8680,https://www.naver.com
251,보은군치매안심센터,043-540-5642,https://www.naver.com
252,부산광역시광역치매센터,051-240-2560,https://www.naver.com
253,울진군 치매안심센터,054-789-5025,https://www.naver.com
254,거창군치매안심센터,055-940-7910,https://www.naver.com
255,양양군 치매안심센터,033-670-2496,https://www.naver.com
256,태백시치매안심센터,033-550-3042,https://www.naver.com
257,고성군치매안심센터,055-670-4851,https://www.naver.com
258,창녕군 치매안심센터,055-530-7503,https://www.naver.com
259,서구치매안심센터,053-663-3811,https://www.naver.com
260,울산광역시 동구보건소 치매안심센터,052-209-4060,https://www.naver.com
261,평택시 송탄치매안심센터,031-8024-7302,https://www.naver.com
262,곡성군치매안심센터,061-360-8981,https://www.naver.com
263,동대문구 치매안심센터,02-957-3062,https://www.naver.com
264,대전광역시 중구 치매안심센터,042-288-8180,https://www.naver.com
265,동구치매안심센터,062-608-3490,https://www.naver.com
266,봉화군치매안심센터,054-679-6791,https://www.naver.com
267,서구치매안심센터,051-240-4912,https://www.naver.com
268,홍천군치매안심센터,033-430-4055,https://www.naver.com
269,청송군치매안심센터,054-870-7341,https://www.naver.com
270,세종특별자치시 치매안심센터(어진동),044-301-2000,https://www.naver.com
271,세종특별자치시광역치매센터,044-867-2851,https://www.naver.com
272,전라남도광역치매센터,061-286-6042,https://www.naver.com
273,목포시치매안심센터,061-270-4271,https://www.naver.com
274,여수시치매안심센터,061-659-5440,https://www.naver.com
275,순천시치매안심센터,061-749-8888,https://www.naver.com
276,나주시치매안심센터,061-339-4771,https://www.naver.com
277,사하구 치매안심센터(다대분소),051-220-0034,https://www.naver.com
278,평택시치매안심센터 안중분소,031-8024-8003,https://www.naver.com
279,충청북도광역치매센터,043-269-6891,https://www.naver.com
280,충청북도 청주시 상당구 치매안심센터,043-201-4300,https://www.naver.com
281,충청북도 청주시 서원구 치매안심센터,043-201-3714,https://www.naver.com
282,충청북도 청주시 흥덕구 치매안심센터,043-201-4331,https://www.naver.com
283,충청북도 청주시 청원구 치매안심센터,043-201-4372,https://www.naver.com
284,서울특별시송파구치매안심센터,02-2147-5050,https://www.naver.com
285,문경시치매안심센터,054-555-2033,https://www.naver.com
286,아산시치매안심센터,041-537-3474,https://www.naver.com
287,부산진구치매안심센터,051-605-6107,https://www.naver.com
288,경기도 과천시 치매안심센터,02-2150-3572,https://www.naver.com
289,구리시 치매안심센터,031-550-8613,https://www.naver.com
290,군포시치매안심센터,031-389-4988,https://www.naver.com
291,부평구치매안심센터,032-509-1300,https://www.naver.com
292,포항시남구치매안심센터,054-270-8901,https://www.naver.com
293,포항시북구치매안심센터,054-270-8951,https://www.naver.com
294,하남시 치매안심센터,031-790-6254,https://www.naver.com
295,치매안심센터,053-666-3181,https://www.naver.com
296,영월군 치매안심센터,033-370-2774,https://www.naver.com
297,밀양시치매안심센터,055-359-7086,https://www.naver.com
298,보성군치매안심센터,061-850-8695,https://www.naver.com
299,증평군치매안신셈터,043-835-4782,https://www.naver.com
300,안성시 치매안심센터,031-678-3003,https://www.naver.com
301,양주시 치매안심센터,031-8082-7147,https://www.naver.com
302,양주시 서부 치매안심센터(분소),031-8082-4388,https://www.naver.com
303,충청남도 예산군 치매안심센터,041-339-6140,https://www.naver.com
304,울릉군치매안심센터,054-790-6827,https://www.naver.com
305,구미치매안심센터,054-480-4882,https://www.naver.com
306,구미시선산치매안심센터,054-480-4352,https://www.naver.com
307,인제군치매안심센터,033-460-2523,https://www.naver.com
308,남부치매안심센터,031-887-3691,https://www.naver.com
309,부산광역시 동구보건소 치매안심센터,051-440-6443,https://www.naver.com
310,부산광역시 수영구 치매안심센터,051-752-4000,https://www.naver.com
311,남동구보건소치매안심센터,032-453-5915,https://www.naver.com
312,기장군 치매안심센터,051-709-2983,https://www.naver.com